"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"5","LMS system","0","Authentication","10","0","Authorization","0"
"1","LMS system","0","Dashboard","2","0","Dashboard","0"
"3","LMS system","0","Courses","6","0","Courses","0"
"1","LMS system","0","Authentication","2","0","Registration","0"
